patch,lat_ms,pred_cf,gt_cf,pred_cloudy,gt_cloudy
x_0000,69.2,0.4588,0.3171,0,0
x_0001,68.1,0.1924,0.1532,0,0
x_0002,68.0,0.4890,0.5362,0,0
x_0003,68.3,0.6125,0.4770,0,0
x_0004,67.8,0.0001,0.0000,0,0
x_0005,68.3,0.6294,0.3531,0,0
x_0006,67.8,0.5690,0.5402,0,0
x_0007,67.9,0.3822,0.5719,0,0
x_0008,68.5,0.0000,0.0000,0,0
x_0009,80.8,0.9301,0.9381,1,1
x_0010,68.7,0.8713,0.3363,1,0
x_0011,68.3,0.0000,0.0000,0,0
x_0012,68.3,0.6746,0.5625,0,0
x_0013,68.5,0.2211,0.1573,0,0
x_0014,68.0,0.2715,0.5417,0,0
x_0015,68.5,0.7239,0.4244,1,0
x_0016,68.1,0.2433,0.2243,0,0
x_0017,67.8,0.3060,0.2854,0,0
x_0018,67.7,0.2173,0.2182,0,0
x_0019,83.7,0.0000,0.0000,0,0
x_0020,67.9,0.4513,0.3759,0,0
x_0021,67.9,0.7684,0.6658,1,0
x_0022,68.1,0.8969,0.7850,1,1
x_0023,68.2,0.4356,0.0000,0,0
x_0024,67.7,0.1510,0.1054,0,0
x_0025,67.9,0.3890,0.4153,0,0
x_0026,67.9,0.7629,0.7868,1,1
x_0027,68.1,0.3585,0.3804,0,0
x_0028,67.9,0.0000,0.0000,0,0
x_0029,81.3,0.3271,0.3542,0,0
x_0030,82.3,0.0000,0.0000,0,0
x_0031,68.1,0.2486,0.2166,0,0
x_0032,67.9,0.0539,0.0821,0,0
x_0033,67.8,0.6908,0.6698,0,0
x_0034,67.9,0.3864,0.3680,0,0
x_0035,68.1,0.4730,0.4809,0,0
x_0036,68.2,0.7869,0.7786,1,1
x_0037,67.7,0.0431,0.0425,0,0
x_0038,68.1,0.0000,0.0000,0,0
x_0039,67.7,0.6131,0.5919,0,0
x_0040,80.5,0.1238,0.0284,0,0
x_0041,67.9,0.7819,0.7376,1,1
x_0042,68.5,0.2285,0.2181,0,0
x_0043,67.9,0.4931,0.4627,0,0
x_0044,68.5,0.8845,0.8180,1,1
x_0045,68.3,0.5923,0.5702,0,0
x_0046,68.3,0.3447,0.3372,0,0
x_0047,68.0,0.5978,0.6006,0,0
x_0048,68.4,0.0000,0.0000,0,0
x_0049,67.7,0.1490,0.1458,0,0
x_0050,84.7,0.0031,0.0000,0,0
x_0051,68.6,0.5987,0.5782,0,0
x_0052,67.7,0.1161,0.1581,0,0
x_0053,68.2,0.3089,0.3222,0,0
x_0054,68.3,0.7813,0.7915,1,1
x_0055,67.9,0.0000,0.0000,0,0
